task,prob_threshold,persistence,score_threshold,trigger_rate_correct,trigger_rate_incorrect,objective
rd,0.9,4,0.0,0.08900523560209424,0.5043936731107206,0.41538843750862636
rd,0.9,4,1.0,0.08900523560209424,0.5008787346221442,0.41187349902004994
rd,0.9,4,1.5,0.06806282722513089,0.46748681898066785,0.39942399175553694
rd,0.9,4,2.0,0.06282722513089005,0.4288224956063269,0.36599527047543684
rd,0.9,4,2.5,0.06282722513089005,0.37785588752196836,0.3150286623910783
rd,0.9,4,3.0,0.06282722513089005,0.3022847100175747,0.2394574848866846
rd,0.95,2,0.0,0.09947643979057591,0.789103690685413,0.6896272508948371
rd,0.95,2,1.0,0.09947643979057591,0.789103690685413,0.6896272508948371
rd,0.95,2,1.5,0.09424083769633508,0.7820738137082601,0.6878329760119251
rd,0.95,2,2.0,0.08376963350785341,0.7574692442882249,0.6736996107803715
rd,0.95,2,2.5,0.08376963350785341,0.7152899824253075,0.6315203489174541
rd,0.95,2,3.0,0.07853403141361257,0.6572934973637962,0.5787594659501836
rd,0.95,3,0.0,0.07329842931937172,0.6010544815465729,0.5277560522272012
rd,0.95,3,1.0,0.07329842931937172,0.6010544815465729,0.5277560522272012
rd,0.95,3,1.5,0.06806282722513089,0.5975395430579965,0.5294767158328656
rd,0.95,3,2.0,0.06806282722513089,0.5799648506151143,0.5119020233899834
rd,0.95,3,2.5,0.06806282722513089,0.5325131810193322,0.4644503537942013
rd,0.95,3,3.0,0.06806282722513089,0.4710017574692443,0.40293893024411337
rd,0.95,4,0.0,0.03664921465968586,0.37785588752196836,0.3412066728622825
rd,0.95,4,1.0,0.03664921465968586,0.37609841827768015,0.3394492036179943
rd,0.95,4,1.5,0.03664921465968586,0.36731107205623903,0.3306618573965532
rd,0.95,4,2.0,0.03664921465968586,0.3427065026362039,0.30605728797651804
rd,0.95,4,2.5,0.03664921465968586,0.3181019332161687,0.28145271855648285
rd,0.95,4,3.0,0.03664921465968586,0.26362038664323373,0.22697117198354788
rgs,0.6,2,0.0,1.0,1.0,0.0
rgs,0.6,2,1.0,1.0,1.0,0.0
rgs,0.6,2,1.5,0.9725274725274725,1.0,0.027472527472527486
rgs,0.6,2,2.0,0.8351648351648352,0.981549815498155,0.14638498033331981
rgs,0.6,2,2.5,0.7142857142857143,0.915129151291513,0.20084343700579865
rgs,0.6,2,3.0,0.554945054945055,0.8191881918819188,0.26424313693686385
rgs,0.6,3,0.0,0.9175824175824175,1.0,0.08241758241758246
rgs,0.6,3,1.0,0.9175824175824175,1.0,0.08241758241758246
rgs,0.6,3,1.5,0.8571428571428571,0.992619926199262,0.1354770690564049
rgs,0.6,3,2.0,0.6648351648351648,0.948339483394834,0.2835043185596692
rgs,0.6,3,2.5,0.5384615384615384,0.8505535055350554,0.31209196707351694
rgs,0.6,3,3.0,0.4340659340659341,0.7250922509225092,0.2910263168565751
rgs,0.6,4,0.0,0.7747252747252747,0.9760147601476015,0.20128948542232672
rgs,0.6,4,1.0,0.7692307692307693,0.9760147601476015,0.2067839909168322
rgs,0.6,4,1.5,0.5934065934065934,0.9354243542435424,0.342017760836949
rgs,0.6,4,2.0,0.43956043956043955,0.8431734317343174,0.4036129921738778
rgs,0.6,4,2.5,0.36813186813186816,0.7140221402214022,0.34589027208953405
rgs,0.6,4,3.0,0.3076923076923077,0.5645756457564576,0.25688333806414987
rgs,0.7,2,0.0,0.967032967032967,1.0,0.03296703296703296
rgs,0.7,2,1.0,0.967032967032967,1.0,0.03296703296703296
rgs,0.7,2,1.5,0.9230769230769231,1.0,0.07692307692307687
rgs,0.7,2,2.0,0.7582417582417582,0.974169741697417,0.21592798345565878
rgs,0.7,2,2.5,0.6483516483516484,0.9059040590405905,0.2575524106889421
rgs,0.7,2,3.0,0.5054945054945055,0.7988929889298892,0.2933984834353838
rgs,0.7,3,0.0,0.8681318681318682,0.9981549815498155,0.13002311341794737
rgs,0.7,3,1.0,0.8626373626373627,0.9981549815498155,0.13551761891245284
rgs,0.7,3,1.5,0.7637362637362637,0.9833948339483395,0.2196585702120758
rgs,0.7,3,2.0,0.5934065934065934,0.9169741697416974,0.323567576335104
rgs,0.7,3,2.5,0.46153846153846156,0.8265682656826568,0.3650298041441953
rgs,0.7,3,3.0,0.34065934065934067,0.7011070110701108,0.3604476704107701
rgs,0.7,4,0.0,0.6373626373626373,0.959409594095941,0.32204695673330364
rgs,0.7,4,1.0,0.6263736263736264,0.959409594095941,0.3330359677223146
rgs,0.7,4,1.5,0.4945054945054945,0.9114391143911439,0.41693361988564936
rgs,0.7,4,2.0,0.34615384615384615,0.8062730627306273,0.4601192165767811
rgs,0.7,4,2.5,0.29120879120879123,0.6845018450184502,0.393293053809659
rgs,0.7,4,3.0,0.25274725274725274,0.5424354243542435,0.2896881716069908
rgs,0.8,2,0.0,0.8681318681318682,0.9981549815498155,0.13002311341794737
rgs,0.8,2,1.0,0.8626373626373627,0.9981549815498155,0.13551761891245284
rgs,0.8,2,1.5,0.7417582417582418,0.992619926199262,0.2508616844410202
rgs,0.8,2,2.0,0.5879120879120879,0.9501845018450185,0.3622724139329305
rgs,0.8,2,2.5,0.510989010989011,0.8745387453874539,0.36354973439844296
rgs,0.8,2,3.0,0.42857142857142855,0.7564575645756457,0.3278861360042172
rgs,0.8,3,0.0,0.6098901098901099,0.977859778597786,0.367969668707676
rgs,0.8,3,1.0,0.6043956043956044,0.977859778597786,0.3734641742021816
rgs,0.8,3,1.5,0.532967032967033,0.955719557195572,0.42275252422853904
rgs,0.8,3,2.0,0.4010989010989011,0.8837638376383764,0.4826649365394753
rgs,0.8,3,2.5,0.3131868131868132,0.7730627306273062,0.45987591744049305
rgs,0.8,3,3.0,0.26373626373626374,0.6439114391143912,0.38017517537812745
rgs,0.8,4,0.0,0.3791208791208791,0.9095940959409594,0.5304732168200803
rgs,0.8,4,1.0,0.37362637362637363,0.9095940959409594,0.5359677223145858
rgs,0.8,4,1.5,0.3076923076923077,0.8542435424354243,0.5465512347431166
rgs,0.8,4,2.0,0.24725274725274726,0.7509225092250923,0.503669761972345
rgs,0.8,4,2.5,0.2087912087912088,0.6217712177121771,0.4129800089209683
rgs,0.8,4,3.0,0.17582417582417584,0.496309963099631,0.3204857872754552
